split,source_video,frame,image,label,positive,faces
train,VID_20231122_101409,1002,VID_20231122_101409_mp4-1002_jpg.rf.995b11d6ec9fdb80932c97009003873f.jpg,VID_20231122_101409_mp4-1002_jpg.rf.995b11d6ec9fdb80932c97009003873f.txt,0,0
train,VID_20231122_101409,1003,VID_20231122_101409_mp4-1003_jpg.rf.aedf254cd98391db97e44c6b94d742c8.jpg,VID_20231122_101409_mp4-1003_jpg.rf.aedf254cd98391db97e44c6b94d742c8.txt,0,0
train,VID_20231122_101409,1009,VID_20231122_101409_mp4-1009_jpg.rf.83e5e6d8b8d0111802650e7b44c423e1.jpg,VID_20231122_101409_mp4-1009_jpg.rf.83e5e6d8b8d0111802650e7b44c423e1.txt,0,0
train,VID_20231122_101409,1014,VID_20231122_101409_mp4-1014_jpg.rf.7b9fe41fe4feb528190add90703b3345.jpg,VID_20231122_101409_mp4-1014_jpg.rf.7b9fe41fe4feb528190add90703b3345.txt,0,0
train,VID_20231122_101409,1044,VID_20231122_101409_mp4-1044_jpg.rf.bdcb0db0e78409a1bb093b0657848473.jpg,VID_20231122_101409_mp4-1044_jpg.rf.bdcb0db0e78409a1bb093b0657848473.txt,0,0
train,VID_20231122_101409,1057,VID_20231122_101409_mp4-1057_jpg.rf.ef629524fab38381a791c20bfdbed1b3.jpg,VID_20231122_101409_mp4-1057_jpg.rf.ef629524fab38381a791c20bfdbed1b3.txt,1,1
train,VID_20231122_101409,105,VID_20231122_101409_mp4-105_jpg.rf.734034dc93b7ceef64fd693dc19b1776.jpg,VID_20231122_101409_mp4-105_jpg.rf.734034dc93b7ceef64fd693dc19b1776.txt,0,0
train,VID_20231122_101409,106,VID_20231122_101409_mp4-106_jpg.rf.ad18b1e6d750456d74926cd5f5a90de8.jpg,VID_20231122_101409_mp4-106_jpg.rf.ad18b1e6d750456d74926cd5f5a90de8.txt,0,0
train,VID_20231122_101409,1091,VID_20231122_101409_mp4-1091_jpg.rf.555b523ad46ea2388a448f63a5dccc7d.jpg,VID_20231122_101409_mp4-1091_jpg.rf.555b523ad46ea2388a448f63a5dccc7d.txt,1,1
train,VID_20231122_101409,1092,VID_20231122_101409_mp4-1092_jpg.rf.332c084e71e99f785b0d804026342c9c.jpg,VID_20231122_101409_mp4-1092_jpg.rf.332c084e71e99f785b0d804026342c9c.txt,0,0
train,VID_20231122_101409,1096,VID_20231122_101409_mp4-1096_jpg.rf.287ab9f9fd94636b397c08181c56ee99.jpg,VID_20231122_101409_mp4-1096_jpg.rf.287ab9f9fd94636b397c08181c56ee99.txt,1,1
train,VID_20231122_101409,10,VID_20231122_101409_mp4-10_jpg.rf.535227370a26ce296b3235105f345908.jpg,VID_20231122_101409_mp4-10_jpg.rf.535227370a26ce296b3235105f345908.txt,0,0
train,VID_20231122_101409,1107,VID_20231122_101409_mp4-1107_jpg.rf.f842096bd7fac851f91c782ea0e01de3.jpg,VID_20231122_101409_mp4-1107_jpg.rf.f842096bd7fac851f91c782ea0e01de3.txt,1,3
train,VID_20231122_101409,1113,VID_20231122_101409_mp4-1113_jpg.rf.d6559146302375b7d34d765a94a3e805.jpg,VID_20231122_101409_mp4-1113_jpg.rf.d6559146302375b7d34d765a94a3e805.txt,0,0
train,VID_20231122_101409,111,VID_20231122_101409_mp4-111_jpg.rf.d44b8255a430b235990d8df06fd427c8.jpg,VID_20231122_101409_mp4-111_jpg.rf.d44b8255a430b235990d8df06fd427c8.txt,0,0
train,VID_20231122_101409,1133,VID_20231122_101409_mp4-1133_jpg.rf.2bd2c7e6f2f5075a07c188e7ea947ac1.jpg,VID_20231122_101409_mp4-1133_jpg.rf.2bd2c7e6f2f5075a07c188e7ea947ac1.txt,1,5
train,VID_20231122_101409,1154,VID_20231122_101409_mp4-1154_jpg.rf.4c2c8c86e2a6685e7cb439574742348b.jpg,VID_20231122_101409_mp4-1154_jpg.rf.4c2c8c86e2a6685e7cb439574742348b.txt,1,4
train,VID_20231122_101409,1155,VID_20231122_101409_mp4-1155_jpg.rf.ec9643d27d3ed5eb99309eceb3728a16.jpg,VID_20231122_101409_mp4-1155_jpg.rf.ec9643d27d3ed5eb99309eceb3728a16.txt,1,2
train,VID_20231122_101409,1157,VID_20231122_101409_mp4-1157_jpg.rf.ddf433fb6f8d2bfa778e0a7ffd977d78.jpg,VID_20231122_101409_mp4-1157_jpg.rf.ddf433fb6f8d2bfa778e0a7ffd977d78.txt,1,3
train,VID_20231122_101409,1168,VID_20231122_101409_mp4-1168_jpg.rf.85f8fa492829cd1744ff6db3ab771840.jpg,VID_20231122_101409_mp4-1168_jpg.rf.85f8fa492829cd1744ff6db3ab771840.txt,1,4
train,VID_20231122_101409,1173,VID_20231122_101409_mp4-1173_jpg.rf.d41ce1237427451c0fe9d0497a4f91b9.jpg,VID_20231122_101409_mp4-1173_jpg.rf.d41ce1237427451c0fe9d0497a4f91b9.txt,1,6
train,VID_20231122_101409,118,VID_20231122_101409_mp4-118_jpg.rf.9257206e4fe581e64be0d26ae99b9d39.jpg,VID_20231122_101409_mp4-118_jpg.rf.9257206e4fe581e64be0d26ae99b9d39.txt,0,0
train,VID_20231122_101409,1208,VID_20231122_101409_mp4-1208_jpg.rf.5b0fb89dfde6028c8bd63ff6be3d8739.jpg,VID_20231122_101409_mp4-1208_jpg.rf.5b0fb89dfde6028c8bd63ff6be3d8739.txt,0,0
train,VID_20231122_101409,1222,VID_20231122_101409_mp4-1222_jpg.rf.0d7ffe0009e08504cf3c798a9243d338.jpg,VID_20231122_101409_mp4-1222_jpg.rf.0d7ffe0009e08504cf3c798a9243d338.txt,0,0
train,VID_20231122_101409,1225,VID_20231122_101409_mp4-1225_jpg.rf.756e55cf20350ecf49b9984e8aefc4e3.jpg,VID_20231122_101409_mp4-1225_jpg.rf.756e55cf20350ecf49b9984e8aefc4e3.txt,0,0
